id,productgroup,main_text,manufacturer
26229701,WASHINGMACHINES,WAQ284E25,BOSCH
16576864,USB MEMORY,"LEEF IBRIDGE MOBILE SPEICHERERWEITERUNG FUER IPHONE, IPAD UND IPOD - MIT LIGHTNING UND USB, 128 GB",LEEF
26155618,USB MEMORY,SANDISK 32GB ULTRA FIT USB 3.0,
25646138,BICYCLES,HOLLANDRAD DAMEN 28 ZOLL TUSSAUD 3-GAENGE RH 54 cm  SCHWARZ BELLEFLEUR,SCHALOW & KROH GMBH
19764614,BICYCLES,DAHON SPEED D7 SCHWARZ ? FALTRAD,DAHON
64836708,USB MEMORY,PNY 16GB LEGO USB FLASH DRIVE + LEGO BRIC,PNY
25637375,BICYCLES,CITYBIKE COLORS 28 ZOLL INKL. KORB  STAND.-VAR.,TRENDMAXX GMBH
49459632,BICYCLES,"126 CITY BIKE 28 3GANG,KORB,WEISS  ST 0001 0 10400 20170121",
21250597,WASHINGMACHINES,AEG WASCHMASCHINE LC53500,AEG
26295640,WASHINGMACHINES,WD 15 H 590 EXTRAKLASSE,SIEMENS
66928405,USB MEMORY,"615634  FLASHPEN LAETA USB 2.0 8 GB 10MB FLASHPEN LAETA, USB 2.0, EH13",
25830006,WASHINGMACHINES,WM 14 B 2 E1 A+++ 6 KG 1400 U/MIN. XKLUSIV,SIEMENS
37679388,BICYCLES,GIANT TALON 1 LTD 27.5 BLACK,GIANT
73954449,WASHINGMACHINES,"POLAR PULSUHR V800 HR, BLACK, 90060770",POLAR
62233672,CONTACT LENSES,ECCO CHANGE ONE DAY UV30 STÜCKUNISEX,MPG&E
48577002,USB MEMORY,VERBATIM STORE 'N' GO V3 16GB USB 3.0 STICK,VERBATIM
29197302,USB MEMORY,USB  8GB  MINIONS CARL  TD  PCK:211750 PEH:0 MEH:ST,TRIBE
62215999,CONTACT LENSES,BIOFINITY TORIC 3ER BOX3 STÜCKUNISEX,COOPER
42306852,BICYCLES,BERGAMONT ROXTAR 7.0 SCHWARZ/SILBER/GRUEN 47 CM,BERGAMONT
69818512,BICYCLES,"PROPH.ATB-FALTR. 26X1,95",Fashion_EAN
62220744,CONTACT LENSES,SAUFLON 55 UV6 STÜCKUNISEX,SAUFLON
42332746,BICYCLES,BICYCLES EXT600 HERREN MATTSCHWARZ 55 CM,BICYCLES
65348701,USB MEMORY,TOSHIBA KEY USB TRANSMEMORY MX 16 GB,TOSHIBA EUROPE
67022275,BICYCLES,"821164  MTB 275 MTB 27,5 WEISS-GRUEN 51",
42298442,BICYCLES,GAZELLE ARROYO C7+ HE MATTSCHWARZ 61 CM,GAZELLE
